system_name,region,attack_type,data_sensitivity_level,records_exposed,estimated_cost_per_record_usd,estimated_total_cost_usd,detection_delay_days,response_time_days,notification_required
CRM,latam-south2,External Hacker,4,56681,17.91,1014973.29,18,7,Yes
CRM,ca-central1,Misconfiguration,4,97901,18.07,1769502.68,10,9,Yes
Support,africa-south1,Misconfiguration,3,16274,13.34,217074.77,3,3,Yes
Billing,asia-south1,Insider,5,41640,21.44,892759.36,9,4,Yes
HR,eu-north1,Misconfiguration,5,45484,21.09,959464.03,7,7,Yes
HR,ap-south1,Misconfiguration,5,26980,21.53,580770.87,10,7,Yes
Billing,latam-north1,Misconfiguration,5,121863,20.98,2556820.26,8,10,Yes
CRM,ap-northeast2,Misconfiguration,3,65012,10.26,666793.1,5,7,Yes
Support,us-east2,Misconfiguration,4,21370,16.84,359830.03,10,4,Yes
CRM,me-central1,Misconfiguration,3,48944,14.48,708707.71,12,3,Yes
HR,us-east1,External Hacker,5,42298,20.05,848172.57,15,11,Yes
Support,eu-north1,Insider,4,13286,16.57,220110.53,13,10,Yes
Support,ca-central1,Misconfiguration,3,18514,11.45,212006.24,6,9,Yes
Billing,us-central2,External Hacker,5,67983,22.4,1523155.45,14,6,Yes
HR,eu-west1,Insider,5,80760,20.95,1691909.36,19,1,Yes
Support,ap-northeast2,Insider,4,20696,16.58,343168.44,12,3,Yes
Support,us-west2,Misconfiguration,3,22856,15.07,344418.24,8,5,Yes
Analytics,ap-south1,Misconfiguration,2,20492,9.46,193859.47,7,8,No
Billing,us-west2,Misconfiguration,5,97122,20.02,1944103.28,11,7,Yes
Billing,ap-northeast2,External Hacker,4,78291,17.37,1359560.59,12,7,Yes
HR,us-west2,External Hacker,4,41587,16.52,687025.54,8,7,Yes
Support,latam-north1,Misconfiguration,3,35089,13.24,464733.07,12,7,Yes
CRM,ap-southeast1,Misconfiguration,2,59363,9.08,539272.62,19,6,No
HR,latam-south2,Misconfiguration,5,49305,19.36,954734.66,17,10,Yes
CRM,us-east3,Misconfiguration,5,38174,22.96,876624.38,7,9,Yes
HR,asia-east1,Insider,5,30189,20.21,610034.65,13,7,Yes
Support,asia-south1,External Hacker,2,20548,7.51,154372.5,11,4,No
Billing,eu-west1,Misconfiguration,5,48068,20.55,987754.81,16,5,Yes
Analytics,us-east2,Insider,2,22842,6.75,154172.62,10,7,No
CRM,us-east2,Misconfiguration,5,30313,19.15,580535.2,15,9,Yes
Billing,us-east1,Misconfiguration,5,79700,20.05,1597822.84,13,9,Yes
HR,ap-northeast1,Misconfiguration,4,87315,17.66,1542276.81,7,9,Yes
Analytics,us-west1,Misconfiguration,1,19722,6.62,130599.75,5,8,Yes
Analytics,me-central1,Misconfiguration,2,19932,11.66,232317.63,9,5,No
CRM,eu-west2,External Hacker,3,40420,12.89,521096.97,12,8,Yes
Support,eu-central2,External Hacker,4,20104,19.03,382678.59,10,14,Yes
Billing,ap-south2,Misconfiguration,5,45999,19.5,897015.02,14,7,Yes
HR,latam-south1,Misconfiguration,5,59464,20.9,1242681.02,9,4,Yes
Support,us-east3,Misconfiguration,3,26851,13.3,357111.08,6,7,Yes
Billing,asia-east1,Insider,5,45251,21.22,960009.7,13,5,Yes
Support,ap-southeast2,Insider,3,24486,14.52,355445.43,15,4,Yes
Billing,latam-south1,Misconfiguration,4,84420,17.72,1495863.33,14,17,Yes
Support,eu-west2,Misconfiguration,3,29084,14.34,416936.66,13,6,Yes
Support,ap-northeast1,Misconfiguration,4,13817,16.67,230308.03,10,8,Yes
Billing,eu-central2,Misconfiguration,5,17716,21.96,389056.9,6,7,Yes
Analytics,eu-north1,External Hacker,3,15385,11.49,176791.46,8,9,Yes
Billing,eu-north1,Misconfiguration,4,76060,17.06,1297872.67,9,13,Yes
Support,latam-south2,Misconfiguration,4,3798,17.26,65557.41,9,10,Yes
Support,us-west1,Misconfiguration,2,19082,9.71,185228.63,13,3,No
HR,ca-central1,Insider,5,40501,20.09,813476.32,20,9,Yes
Billing,me-central1,Misconfiguration,4,95700,19.97,1911226.49,16,4,Yes
Analytics,africa-south1,Insider,2,22601,8.01,181017.35,11,8,Yes
CRM,ap-south1,Misconfiguration,3,58571,8.46,495641.02,6,6,Yes
HR,latam-north1,Misconfiguration,4,82648,15,1239538.35,10,8,Yes
Analytics,us-central1,Misconfiguration,3,6384,14.63,93387.89,11,5,Yes
CRM,ap-south2,Misconfiguration,4,64777,16.16,1046776.65,12,7,Yes
Support,ap-south1,Misconfiguration,3,25297,15.22,385031.05,6,12,Yes
Billing,eu-west2,Misconfiguration,3,65750,13.82,908904.6,12,5,Yes
HR,eu-central1,Misconfiguration,5,40139,20.17,809799.88,16,9,Yes
Analytics,ap-northeast1,Misconfiguration,1,20397,5.43,110760.18,12,8,No
Support,ap-south2,Insider,2,15518,10.05,155897.1,12,6,No
Analytics,asia-east1,Misconfiguration,2,22665,8.17,185213.85,12,6,No
HR,us-west1,External Hacker,5,71975,22.16,1594648.08,16,11,Yes
HR,eu-west2,Misconfiguration,5,63639,20.57,1308775.91,14,8,Yes
HR,ap-northeast2,Misconfiguration,5,61903,19.85,1229052.56,21,5,Yes
Analytics,us-east3,Insider,1,21948,6.11,134065.58,11,8,No
Analytics,us-central2,Misconfiguration,2,9616,9.11,87564.51,7,9,Yes
Support,us-east1,Misconfiguration,3,13396,12.55,168120.6,12,6,Yes
CRM,latam-south1,Misconfiguration,3,65848,13.34,878606.78,8,6,Yes
CRM,asia-east1,Misconfiguration,4,25245,15.03,379421.01,9,7,Yes
Billing,ap-northeast1,Misconfiguration,5,111309,22.2,2471140.33,12,8,Yes
Billing,eu-central1,Insider,4,69481,16.6,1153098.19,13,5,Yes
Analytics,ap-south2,Misconfiguration,2,24196,8.85,214079.82,11,8,Yes
CRM,latam-north1,Misconfiguration,4,65378,17.02,1112578.57,12,6,Yes
Support,us-central2,Insider,3,23983,15.03,360502.89,14,12,Yes
CRM,eu-north1,Insider,3,80935,13.26,1072929.3,19,5,Yes
HR,me-central1,External Hacker,4,38012,14.03,533177.07,9,6,Yes
HR,us-central2,Misconfiguration,5,56835,23.63,1342820.04,16,7,Yes
CRM,us-central1,Misconfiguration,3,71806,11.15,800757.07,18,10,Yes
Billing,ca-central1,Misconfiguration,5,22032,22.9,504431.92,12,11,Yes
Analytics,us-west2,External Hacker,1,11403,5.01,57098.71,9,5,No
Billing,ap-southeast1,Misconfiguration,5,40106,20.8,834231.62,13,9,Yes
Billing,ap-southeast2,Misconfiguration,5,38510,18.85,725999.77,18,9,Yes
CRM,eu-central2,Misconfiguration,3,97227,13.16,1279696.38,15,7,Yes
Billing,ap-south1,Misconfiguration,5,119149,20.65,2460599.64,16,10,Yes
Analytics,latam-south1,Misconfiguration,3,9210,13.96,128575.95,15,3,Yes
Analytics,ap-southeast1,External Hacker,1,2764,4.62,12777.5,11,10,No
Analytics,us-east1,Misconfiguration,2,24771,7.07,175077.91,3,6,No
Analytics,ca-central1,Misconfiguration,2,14803,6.11,90380.92,9,3,No
CRM,ap-southeast2,External Hacker,5,68798,19.68,1354231.41,10,5,Yes
Support,ap-southeast1,External Hacker,3,27641,11.62,321187.96,13,6,Yes
Billing,africa-south1,External Hacker,4,67003,15.55,1041940.92,9,5,Yes
Analytics,eu-central1,Misconfiguration,4,15211,16.02,243686.07,12,7,Yes
Support,asia-east1,Misconfiguration,3,24913,14.06,350289.51,8,6,Yes
CRM,ap-northeast1,Misconfiguration,4,4753,14.88,70718.62,17,12,Yes
CRM,us-east1,Misconfiguration,4,73837,17.44,1287403.49,24,10,Yes
Billing,latam-south2,Misconfiguration,5,43244,18.75,810867.17,13,6,Yes
Analytics,eu-central2,Misconfiguration,1,11120,3.49,38762.46,15,8,Yes
HR,us-central1,Misconfiguration,5,79598,21.11,1680179.71,9,12,Yes
Analytics,ap-northeast2,Insider,2,8776,8.73,76645.42,6,3,Yes
